분기,시군구명,서비스업종,개업수,폐업수,개업률,폐업률
1,종로구,한식,61,84,2.1,2.9
1,중구,한식,78,84,2.8,3.1
1,용산구,한식,58,54,3.2,2.9
1,성동구,한식,52,70,2.8,3.8
1,광진구,한식,58,97,2.7,4.4
1,동대문구,한식,72,76,3.0,3.2
1,중랑구,한식,70,75,3.2,3.5
1,성북구,한식,51,72,2.5,3.6
1,강북구,한식,47,52,2.4,2.7
1,도봉구,한식,45,58,3.2,4.1
1,노원구,한식,59,78,3.0,4.0
1,은평구,한식,81,97,3.8,4.6
1,서대문구,한식,41,61,2.3,3.5
1,마포구,한식,102,141,3.0,4.2
1,양천구,한식,61,65,3.6,3.8
1,강서구,한식,124,126,4.0,4.1
1,구로구,한식,61,72,2.8,3.3
1,금천구,한식,55,60,3.1,3.4
1,영등포구,한식,98,108,3.0,3.3
1,동작구,한식,35,69,2.0,3.9
1,관악구,한식,80,111,3.2,4.4
1,서초구,한식,74,110,2.6,3.9
1,강남구,한식,181,208,3.5,4.0
1,송파구,한식,115,140,3.2,3.9
1,강동구,한식,79,82,3.5,3.7
1,종로구,중식,7,5,3.3,2.4
1,중구,중식,6,6,2.3,2.3
1,용산구,중식,5,6,3.0,3.7
1,성동구,중식,5,5,3.2,3.2
1,광진구,중식,10,7,4.0,2.8
1,동대문구,중식,9,5,4.1,2.3
1,중랑구,중식,4,3,3.4,2.6
1,성북구,중식,8,9,4.6,5.2
1,강북구,중식,8,5,6.3,3.9
1,도봉구,중식,6,6,6.5,6.5
1,노원구,중식,8,6,4.9,3.7
1,은평구,중식,8,12,5.1,7.7
1,서대문구,중식,10,6,5.3,3.2
1,마포구,중식,13,14,4.0,4.3
1,양천구,중식,11,10,7.6,6.9
1,강서구,중식,12,7,4.7,2.7
1,구로구,중식,17,7,4.4,1.8
1,금천구,중식,14,7,6.3,3.2
1,영등포구,중식,24,23,3.8,3.6
1,동작구,중식,3,6,1.8,3.7
1,관악구,중식,17,11,7.4,4.8
1,서초구,중식,8,12,3.1,4.7
1,강남구,중식,17,18,3.5,3.8
1,송파구,중식,14,9,5.0,3.2
1,강동구,중식,12,10,6.6,5.5
1,종로구,일식,12,10,3.8,3.2
1,중구,일식,9,13,3.1,4.5
1,용산구,일식,13,6,4.8,2.2
1,성동구,일식,11,7,5.4,3.4
1,광진구,일식,20,15,7.7,5.7
1,동대문구,일식,7,3,3.7,1.6
1,중랑구,일식,4,3,2.7,2.1
1,성북구,일식,8,4,4.2,2.1
1,강북구,일식,7,4,5.5,3.1
1,도봉구,일식,10,4,9.3,3.7
1,노원구,일식,9,12,5.1,6.7
1,은평구,일식,8,9,4.1,4.7
1,서대문구,일식,12,7,5.8,3.4
1,마포구,일식,34,18,4.9,2.6
1,양천구,일식,7,4,3.8,2.2
1,강서구,일식,17,20,4.6,5.4
1,구로구,일식,5,4,2.8,2.2
1,금천구,일식,8,3,6.7,2.5
1,영등포구,일식,17,8,4.6,2.1
1,동작구,일식,10,4,4.5,1.8
1,관악구,일식,13,18,4.6,6.3
1,서초구,일식,13,10,3.4,2.6
1,강남구,일식,41,31,4.3,3.2
1,송파구,일식,28,24,5.2,4.5
1,강동구,일식,2,6,0.8,2.5
1,종로구,기타 외국식,20,13,3.6,2.3
1,중구,기타 외국식,10,6,2.3,1.4
1,용산구,기타 외국식,18,19,2.1,2.2
1,성동구,기타 외국식,20,12,5.3,3.2
1,광진구,기타 외국식,11,11,4.1,4.1
1,동대문구,기타 외국식,7,7,3.4,3.4
1,중랑구,기타 외국식,10,10,7.9,7.9
1,성북구,기타 외국식,6,8,2.5,3.3
1,강북구,기타 외국식,7,4,6.4,3.7
1,도봉구,기타 외국식,5,5,5.1,5.1
1,노원구,기타 외국식,6,2,3.1,1.0
1,은평구,기타 외국식,9,5,5.3,2.9
1,서대문구,기타 외국식,13,11,4.9,4.2
1,마포구,기타 외국식,34,45,3.6,4.8
1,양천구,기타 외국식,4,7,2.5,4.4
1,강서구,기타 외국식,17,20,5.8,6.8
1,구로구,기타 외국식,6,7,4.0,4.6
1,금천구,기타 외국식,6,7,5.6,6.5
1,영등포구,기타 외국식,17,12,4.9,3.4
1,동작구,기타 외국식,9,8,5.6,4.9
1,관악구,기타 외국식,19,21,7.0,7.7
1,서초구,기타 외국식,19,17,3.3,3.0
1,강남구,기타 외국식,55,64,3.7,4.3
1,송파구,기타 외국식,15,23,2.9,4.4
1,강동구,기타 외국식,7,3,3.2,1.4
1,종로구,제과제빵,3,4,1.2,1.6
1,중구,제과제빵,1,4,0.4,1.6
1,용산구,제과제빵,7,9,2.8,3.6
1,성동구,제과제빵,10,6,4.8,2.9
1,광진구,제과제빵,7,6,3.2,2.7
1,동대문구,제과제빵,2,5,1.1,2.8
1,중랑구,제과제빵,5,3,3.4,2.0
1,성북구,제과제빵,5,6,2.3,2.8
1,강북구,제과제빵,5,7,4.3,6.0
1,도봉구,제과제빵,4,3,3.1,2.3
1,노원구,제과제빵,10,4,4.2,1.7
1,은평구,제과제빵,13,12,5.9,5.5
1,서대문구,제과제빵,6,8,3.0,4.0
1,마포구,제과제빵,13,15,3.1,3.6
1,양천구,제과제빵,6,11,2.9,5.4
1,강서구,제과제빵,11,10,3.6,3.3
1,구로구,제과제빵,6,7,3.6,4.2
1,금천구,제과제빵,5,5,4.5,4.5
1,영등포구,제과제빵,9,7,3.5,2.7
1,동작구,제과제빵,7,10,3.6,5.2
1,관악구,제과제빵,1,9,0.5,4.4
1,서초구,제과제빵,7,15,1.9,4.1
1,강남구,제과제빵,14,20,2.6,3.7
1,송파구,제과제빵,16,11,4.2,2.9
1,강동구,제과제빵,7,14,2.8,5.6
1,종로구,패스트푸드,4,12,1.6,4.9
1,중구,패스트푸드,4,8,1.8,3.7
1,용산구,패스트푸드,3,2,1.4,0.9
1,성동구,패스트푸드,8,11,4.2,5.8
1,광진구,패스트푸드,14,7,6.4,3.2
1,동대문구,패스트푸드,6,9,2.8,4.2
1,중랑구,패스트푸드,2,10,1.3,6.5
1,성북구,패스트푸드,6,7,2.7,3.1
1,강북구,패스트푸드,8,8,5.4,5.4
1,도봉구,패스트푸드,3,6,2.8,5.5
1,노원구,패스트푸드,7,13,3.0,5.6
1,은평구,패스트푸드,7,12,3.4,5.8
1,서대문구,패스트푸드,6,8,2.7,3.6
1,마포구,패스트푸드,14,19,3.7,5.1
1,양천구,패스트푸드,9,12,4.8,6.4
1,강서구,패스트푸드,8,11,2.6,3.6
1,구로구,패스트푸드,3,9,1.5,4.6
1,금천구,패스트푸드,1,2,0.7,1.5
1,영등포구,패스트푸드,7,10,2.7,3.8
1,동작구,패스트푸드,8,9,3.7,4.1
1,관악구,패스트푸드,16,11,6.3,4.3
1,서초구,패스트푸드,12,14,4.2,4.9
1,강남구,패스트푸드,16,26,2.7,4.3
1,송파구,패스트푸드,16,19,3.7,4.4
1,강동구,패스트푸드,11,12,4.5,4.9
1,종로구,치킨,4,7,3.1,5.5
1,중구,치킨,2,2,1.4,1.4
1,용산구,치킨,6,6,4.5,4.5
1,성동구,치킨,4,6,2.2,3.3
1,광진구,치킨,5,6,2.3,2.8
1,동대문구,치킨,6,14,2.6,6.1
1,중랑구,치킨,11,11,4.9,4.9
1,성북구,치킨,10,9,4.5,4.0
1,강북구,치킨,3,7,1.5,3.5
1,도봉구,치킨,8,13,4.2,6.8
1,노원구,치킨,11,11,4.0,4.0
1,은평구,치킨,11,15,4.5,6.2
1,서대문구,치킨,12,14,6.4,7.5
1,마포구,치킨,12,15,5.0,6.2
1,양천구,치킨,7,8,3.2,3.6
1,강서구,치킨,17,21,5.3,6.5
1,구로구,치킨,7,17,2.8,6.7
1,금천구,치킨,11,6,6.5,3.6
1,영등포구,치킨,10,17,4.0,6.8
1,동작구,치킨,10,15,4.5,6.8
1,관악구,치킨,15,13,5.8,5.0
1,서초구,치킨,5,13,2.4,6.2
1,강남구,치킨,12,16,3.6,4.7
1,송파구,치킨,15,14,4.3,4.1
1,강동구,치킨,9,15,3.2,5.4
1,종로구,분식,25,25,3.3,3.3
1,중구,분식,25,16,3.2,2.0
1,용산구,분식,15,18,2.7,3.3
1,성동구,분식,23,18,5.5,4.3
1,광진구,분식,30,19,5.3,3.4
1,동대문구,분식,31,14,6.5,2.9
1,중랑구,분식,20,15,4.8,3.6
1,성북구,분식,31,17,5.8,3.2
1,강북구,분식,14,14,3.9,3.9
1,도봉구,분식,12,8,3.8,2.5
1,노원구,분식,28,21,5.7,4.3
1,은평구,분식,25,26,4.8,5.0
1,서대문구,분식,27,12,4.8,2.1
1,마포구,분식,51,40,5.9,4.6
1,양천구,분식,25,13,5.7,3.0
1,강서구,분식,44,39,6.1,5.4
1,구로구,분식,18,17,3.8,3.5
1,금천구,분식,17,16,4.7,4.5
1,영등포구,분식,25,26,3.4,3.5
1,동작구,분식,23,14,5.5,3.4
1,관악구,분식,25,30,4.1,4.9
1,서초구,분식,20,29,2.4,3.5
1,강남구,분식,65,61,4.9,4.6
1,송파구,분식,58,40,6.6,4.6
1,강동구,분식,31,32,5.7,5.9
1,종로구,주점,6,10,1.5,2.6
1,중구,주점,4,14,1.4,5.0
1,용산구,주점,6,10,2.0,3.4
1,성동구,주점,6,7,3.0,3.5
1,광진구,주점,8,14,2.2,3.8
1,동대문구,주점,10,14,3.5,5.0
1,중랑구,주점,14,10,3.9,2.8
1,성북구,주점,6,5,2.3,1.9
1,강북구,주점,8,13,2.7,4.3
1,도봉구,주점,6,8,2.8,3.8
1,노원구,주점,5,8,2.1,3.4
1,은평구,주점,13,15,3.8,4.3
1,서대문구,주점,9,8,3.2,2.9
1,마포구,주점,14,24,2.3,3.9
1,양천구,주점,13,15,4.4,5.1
1,강서구,주점,10,18,2.1,3.8
1,구로구,주점,9,16,2.3,4.1
1,금천구,주점,6,7,2.6,3.0
1,영등포구,주점,17,16,3.3,3.1
1,동작구,주점,8,8,3.2,3.2
1,관악구,주점,11,16,2.5,3.7
1,서초구,주점,4,13,1.2,3.9
1,강남구,주점,9,16,1.4,2.6
1,송파구,주점,12,20,2.8,4.6
1,강동구,주점,11,13,3.0,3.6
1,종로구,커피,52,41,4.1,3.2
1,중구,커피,50,29,4.4,2.6
1,용산구,커피,45,32,5.1,3.6
1,성동구,커피,44,28,5.1,3.3
1,광진구,커피,35,26,4.2,3.1
1,동대문구,커피,45,37,6.7,5.5
1,중랑구,커피,39,24,7.4,4.5
1,성북구,커피,30,25,3.9,3.3
1,강북구,커피,39,30,8.0,6.1
1,도봉구,커피,19,27,5.1,7.3
1,노원구,커피,48,40,7.2,6.0
1,은평구,커피,36,34,5.4,5.1
1,서대문구,커피,45,37,6.7,5.5
1,마포구,커피,122,96,6.1,4.8
1,양천구,커피,31,22,5.4,3.8
1,강서구,커피,63,66,6.0,6.3
1,구로구,커피,35,36,5.7,5.9
1,금천구,커피,35,35,6.4,6.4
1,영등포구,커피,64,44,5.4,3.7
1,동작구,커피,32,32,5.1,5.1
1,관악구,커피,45,37,5.6,4.6
1,서초구,커피,61,61,4.6,4.6
1,강남구,커피,80,88,3.2,3.6
1,송파구,커피,86,65,6.0,4.5
1,강동구,커피,35,36,4.5,4.6
