행정구역,생활밀접업종,2022년 2분기,2022년 2분기,2022년 2분기,2022년 3분기,2022년 3분기,2022년 3분기,2022년 4분기,2022년 4분기,2022년 4분기
행정구역,생활밀접업종,1년 생존율,3년 생존율,5년 생존율,1년 생존율,3년 생존율,5년 생존율,1년 생존율,3년 생존율,5년 생존율
행정구역,Unnamed: 1_level_2,Unnamed: 2_level_2,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2,Unnamed: 7_level_2,Unnamed: 8_level_2,Unnamed: 9_level_2,Unnamed: 10_level_2
하위 메뉴 펼침서울시 전체,외식업/ 전체,79.3,51.0,32.7,76.9,50.9,32.8,76.1,50.9,33.6
하위 메뉴 펼침종로구,외식업/ 전체,85.6,58.3,37.3,83.1,57.7,38.5,80.5,57.3,39.3
하위 메뉴 펼침중구,외식업/ 전체,85.8,55.3,38.0,82.7,55.8,36.4,81.3,56.0,36.2
하위 메뉴 펼침용산구,외식업/ 전체,85.9,56.2,35.4,85.4,56.3,36.0,84.6,55.7,38.3
하위 메뉴 펼침성동구,외식업/ 전체,81.5,48.9,33.3,80.5,50.7,34.9,82.6,53.0,35.5
하위 메뉴 펼침광진구,외식업/ 전체,77.4,52.3,32.4,75.9,52.8,31.7,76.2,52.7,32.8
하위 메뉴 펼침동대문구,외식업/ 전체,78.6,48.6,32.3,76.2,49.6,32.6,76.4,51.5,34.3
하위 메뉴 펼침중랑구,외식업/ 전체,77.0,47.8,28.5,75.6,47.8,29.6,74.4,45.6,30.4
하위 메뉴 펼침성북구,외식업/ 전체,83.2,56.5,33.4,79.5,57.4,32.5,79.1,57.9,34.6
하위 메뉴 펼침강북구,외식업/ 전체,74.5,47.4,29.3,74.4,46.8,30.1,73.4,48.2,31.7
하위 메뉴 펼침도봉구,외식업/ 전체,80.1,50.6,32.8,76.7,50.0,30.1,75.1,50.5,31.2
하위 메뉴 펼침노원구,외식업/ 전체,80.6,51.4,34.5,74.8,51.9,33.9,73.7,50.7,33.8
하위 메뉴 펼침은평구,외식업/ 전체,79.4,46.8,32.6,76.9,48.0,31.7,74.8,48.5,30.4
하위 메뉴 펼침서대문구,외식업/ 전체,82.5,50.9,33.0,80.4,49.9,34.3,78.9,50.2,32.6
하위 메뉴 펼침마포구,외식업/ 전체,80.2,49.6,30.1,77.6,49.5,30.2,77.0,49.9,30.3
하위 메뉴 펼침양천구,외식업/ 전체,79.0,45.7,29.9,74.5,47.2,31.6,73.4,49.0,32.9
하위 메뉴 펼침강서구,외식업/ 전체,76.4,47.7,31.7,74.2,46.7,32.0,73.7,46.9,32.4
하위 메뉴 펼침구로구,외식업/ 전체,81.3,48.4,34.1,79.3,48.4,34.1,76.7,48.0,33.3
하위 메뉴 펼침금천구,외식업/ 전체,79.9,52.0,29.5,77.1,53.1,29.8,75.8,50.9,32.3
하위 메뉴 펼침영등포구,외식업/ 전체,80.4,53.0,34.9,79.9,51.7,35.7,78.8,52.1,36.7
하위 메뉴 펼침동작구,외식업/ 전체,79.6,51.9,33.9,79.0,53.2,33.3,79.8,52.2,34.2
하위 메뉴 펼침관악구,외식업/ 전체,73.7,49.6,29.3,70.9,48.3,28.0,71.1,49.9,29.7
하위 메뉴 펼침서초구,외식업/ 전체,80.4,53.6,32.2,79.0,52.6,35.8,77.0,53.7,38.4
하위 메뉴 펼침강남구,외식업/ 전체,78.0,51.0,32.8,75.1,50.5,32.6,74.7,50.2,33.8
하위 메뉴 펼침송파구,외식업/ 전체,77.2,51.8,33.4,73.1,50.0,32.8,72.3,48.1,33.2
하위 메뉴 펼침강동구,외식업/ 전체,75.4,49.0,32.4,72.4,48.6,31.3,71.4,48.7,32.4
